account_id,user_id,account_type,balance_krw,monthly_contribution_krw,risky_asset_ratio,safe_asset_ratio,cash_ratio,trailing_12m_return_pct,return_period_end,data_kind,source_ids
ACC000001,USR00001,DC,26600000,560000,0.14953391302040075,0.5822804689883883,0.268185617991211,-6.27,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000002,USR00001,IRP,58230000,370000,0.29251565565916016,0.619023461562409,0.08846088277843092,14.12,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000003,USR00002,IRP,32970000,180000,0.11724346083333939,0.24390419786741224,0.6388523412992484,4.11,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000004,USR00003,DC,18350000,860000,0.1550166011673418,0.6274258320617181,0.2175575667709401,11.91,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000005,USR00003,IRP,11150000,250000,0.6100019420134614,0.2900403309559786,0.09995772703056002,13.58,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000006,USR00004,DC,33410000,400000,0.07782326493654297,0.7908505378851082,0.1313261971783488,-13.1,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000007,USR00005,DC,2210000,720000,0.04927085461564157,0.7638769795763738,0.18685216580798472,4.57,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000008,USR00006,DC,47690000,610000,0.08306722664399524,0.665073074390511,0.25185969896549376,7.19,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000009,USR00006,PENSION_SAVINGS_FUND,1180000,320000,0.7548977786333764,0.1596474524228649,0.08545476894375872,61.83,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000010,USR00007,IRP,6400000,110000,0.13139764531224993,0.19360941929599285,0.6749929353917572,14.62,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000011,USR00008,DC,134020000,810000,0.19539004334178306,0.5418620732651606,0.26274788339305644,5.77,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000012,USR00008,IRP,7660000,190000,0.384921754250828,0.4727782224130976,0.14230002333607444,11.64,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000013,USR00008,PENSION_SAVINGS_FUND,15140000,320000,0.6182745737372998,0.3190846059916801,0.06264082027102016,42.3,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000014,USR00009,DC,168940000,290000,0.1489083483679292,0.6710596447312367,0.18003200690083412,5.6,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000015,USR00010,DC,227710000,380000,0.40589700491991426,0.5695724785230816,0.024530516557004188,9.84,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000016,USR00010,PENSION_SAVINGS_FUND,11570000,300000,0.4511041636196732,0.5021648957662614,0.046730940614065325,44.98,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000017,USR00011,DC,95550000,680000,0.051001775165354604,0.688655136983324,0.26034308785132126,-0.02,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000018,USR00011,PENSION_SAVINGS_FUND,5860000,320000,0.45268251748256,0.4745999482428495,0.07271753427459053,15.43,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000019,USR00012,PENSION_SAVINGS_FUND,8540000,200000,0.1445737892830935,0.35211656623704923,0.5033096444798573,20.32,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000020,USR00013,DC,35410000,670000,0.21154251549055184,0.5244365602118359,0.26402092429761226,7.56,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000021,USR00014,DC,1430000,300000,0.1419486955381245,0.6502026793298014,0.20784862513207414,12.24,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000022,USR00015,DC,37890000,600000,0.18418493499580157,0.674140914778919,0.14167415022527935,1.85,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000023,USR00016,DC,21660000,650000,0.3563447799152765,0.544402912023672,0.09925230806105144,9.42,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000024,USR00016,IRP,3200000,250000,0.13187743014362527,0.23487240827236533,0.6332501615840094,-3.44,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000025,USR00016,PENSION_SAVINGS_FUND,11550000,530000,0.18276888238156513,0.3346645785506821,0.4825665390677527,18.31,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000026,USR00017,DC,314170000,690000,0.09077120271683076,0.6941101390701446,0.21511865821302453,-2.82,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000027,USR00017,PENSION_SAVINGS_FUND,5470000,190000,0.4245958881663666,0.5119272729848622,0.06347683884877119,37.07,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000028,USR00018,DC,9950000,590000,0.08844754100732598,0.7823130960369745,0.12923936295569952,4.11,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000029,USR00019,IRP,60240000,460000,0.232016975526733,0.1887385857267332,0.5792444387465339,7.02,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000030,USR00020,IRP,6890000,320000,0.0886360383013583,0.3179318768087136,0.5934320848899282,-6.49,2025-12-31,MOCK,KOSTAT_RETIREMENT_2024|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000031,USR00020,PENSION_SAVINGS_FUND,1220000,360000,0.11807319588579089,0.39914003472532456,0.48278676938888454,22.23,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000032,USR00021,DC,141060000,250000,0.31410376070978213,0.6685652063472726,0.017331032942945326,5.45,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
ACC000033,USR00021,PENSION_SAVINGS_FUND,79390000,340000,0.417082520975094,0.5650592877434346,0.017858191281471314,2.41,2025-12-31,MOCK,FSC_FSS_PSA_2025|ASSUMPTION_V1
ACC000034,USR00022,DC,129130000,980000,0.38496478671093926,0.5065641503009407,0.10847106298812001,8.74,2025-12-31,MOCK,KIRI_2025_20|MOEL_FSS_RETIREMENT_2025|ASSUMPTION_V1
